sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
WNS08043,tcap022,LUpre-tcap022,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC874,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08044,tcap023,LUpre-tcap023,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC875,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08045,tcap024,LUpre-tcap024,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC876,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08046,tcap025,LUpre-tcap025,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC877,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08047,tcap051,LUpre-tcap051,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC878,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08049,tcap053,LUpre-tcap053,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC880,F,Boston University,NA,LU,NY-WilliamsMine,17,17
WNS08051,tcap054,LUpre-tcap054,3,MYLU,NY,WilliamsMine,BU,pre,N,12/17/08,NA,A,BC882,F,Boston University,NA,LU,NY-WilliamsMine,17,17
NA,sus01,LUpre-sus01,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,Note some samples collected by Steve Trombulak,LU,VT-Stockbridge,21,21
NA,sus02,LUpre-sus02,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus03,LUpre-sus03,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus04,LUpre-sus04,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus05,LUpre-sus05,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus06,LUpre-sus06,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus13,LUpre-sus13,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus14,SEpre-sus14,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus15,SEpre-sus15,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus16,LUpre-sus16,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus17,SEpre-sus17,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus18,SEpre-sus18,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus19,LUpre-sus19,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus20,LUpre-sus20,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus21,LUpre-sus21,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus22,LUpre-sus22,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus23,LUpre-sus23,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus24,LUpre-sus24,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus25,LUpre-sus25,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus26,LUpre-sus26,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus27,LUpre-sus27,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus28,SEpre-sus28,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus29,LUpre-sus29,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus30,SEpre-sus30,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus31,LUpre-sus31,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus32,LUpre-sus32,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus33,LUpre-sus33,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus34,LUpre-sus34,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus35,LUpre-sus35,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus36,LUpre-sus36,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
NA,sus37,SEpre-sus37,2,MYSE,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,SE,VT-Stockbridge,21,21
NA,sus38,LUpre-sus38,2,MYLU,VT,Stockbridge,VTFW,pre,NA,1/16/09,NA,NA,NA,NA,Alissa Bennett,NA,LU,VT-Stockbridge,21,21
WNS08111,tcap055,LUpre-tcap055,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC182,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08112,tcap056,LUpre-tcap056,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC183,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08113,tcap057,LUpre-tcap057,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC184,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08114,tcap058,LUpre-tcap058,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC185,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08115,tcap059,LUpre-tcap059,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC186,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08116,tcap060,LUpre-tcap060,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC187,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08117,tcap061,LUpre-tcap061,3,MYLU,VT,Aeolus,BU,pre,N,01/31/09,NA,A,BC188,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08142,tcap062,LUpre-tcap062,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC367,F,Boston University,NA,LU,MA-Chester,2,2
WNS08143,tcap063,LUpre-tcap063,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC368,F,Boston University,NA,LU,MA-Chester,2,2
WNS08144,tcap064,LUpre-tcap064,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC369,F,Boston University,NA,LU,MA-Chester,2,2
WNS08145,tcap065,LUpre-tcap065,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC370,F,Boston University,NA,LU,MA-Chester,2,2
WNS08146,tcap066,LUpre-tcap066,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC371,F,Boston University,NA,LU,MA-Chester,2,2
WNS08147,tcap067,LUpre-tcap067,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC372,F,Boston University,NA,LU,MA-Chester,2,2
WNS08148,tcap068,LUpre-tcap068,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC373,F,Boston University,NA,LU,MA-Chester,2,2
WNS08149,tcap069,LUpre-tcap069,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC374,F,Boston University,NA,LU,MA-Chester,2,2
WNS08150,tcap070,LUpre-tcap070,3,MYLU,MA,Chester,BU,pre,N,02/02/09,NA,A,BC375,F,Boston University,NA,LU,MA-Chester,2,2
WNS08197,tcap006,LUpre-tcap006,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC232,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08203,tcap027,LUpre-tcap027,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC238,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08204,tcap028,LUpre-tcap028,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC239,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08205,tcap029,LUpre-tcap029,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC240,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08206,tcap030,LUpre-tcap030,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC241,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08188,tcap071,LUpre-tcap071,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC223,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08189,tcap072,LUpre-tcap072,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC224,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08190,tcap073,LUpre-tcap073,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC225,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08191,tcap074,LUpre-tcap074,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC226,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08192,tcap075,LUpre-tcap075,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC227,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08193,tcap076,LUpre-tcap076,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC228,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08194,tcap077,LUpre-tcap077,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC229,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08195,tcap078,LUpre-tcap078,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC230,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08196,tcap079,LUpre-tcap079,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC231,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08198,tcap080,LUpre-tcap080,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC233,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08199,tcap081,LUpre-tcap081,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC234,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08200,tcap082,LUpre-tcap082,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC235,F,Boston University,NA,LU,VT-Aeolus,18,18
WNS08201,tcap083,LUpre-tcap083,3,MYLU,VT,Aeolus,BU,pre,N,03/27/09,NA,A,BC236,F,Boston University,NA,LU,VT-Aeolus,18,18
NYA032011,tcap001,SEpre-tcap001,3,MYSE,NY,Akron,NYDEC,pre,N,2/9/2011,NA,NA,NA,NA,Sam Hoff,Akron mine - found dead,SE,NY-Akron,10,10
NYA022011,tcap165,SEpre-tcap165,3,MYSE,NY,Akron,NYDEC,pre,N,2/9/2011,NA,NA,NA,NA,Sam Hoff,Akron mine - found dead,SE,NY-Akron,10,10
NYA042011,tcap169,SEpre-tcap169,3,MYSE,NY,Akron,NYDEC,pre,N,2/9/2011,NA,NA,NA,NA,Sam Hoff,Akron mine - found dead,SE,NY-Akron,10,10
NYA012011,tcap185,SEpre-tcap185,3,MYSE,NY,Akron,NYDEC,pre,N,9/10/2011,NA,NA,NA,NA,Sam Hoff,Akron mine - found dead,SE,NY-Akron,10,10
KG16NH024,res01,LUpost-res01,1,MYLU,NH,Milford,KGUNH,post,Y,6/10/2016,5/20/2009,A,THK27206,F,Katherine Ineson,NA,LU,NH-Milford,9,9
KG16MA258,tcap089,LUpost-tcap089,3,MYLU,MA,Princeton,KGUNH,post,Y,6/13/16,5/16/13,A,MADFW15903,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA248,tcap141,LUpost-tcap141,3,MYLU,MA,Princeton,KGUNH,post,Y,6/13/16,5/16/13,A,MADFW15904,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA246,tcap148,LUpost-tcap148,3,MYLU,MA,Princeton,KGUNH,post,Y,6/13/16,6/3/13,A,MADFW15935,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA218,res06,LUpost-res06,1,MYLU,MA,Princeton,KGUNH,post,Y,6/13/2016,6/14/2012,A,MADFW15771,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA232,res07,LUpost-res07,1,MYLU,MA,Princeton,KGUNH,post,Y,6/13/2016,5/16/13,A,MADFW15919,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA243,res08,LUpost-res08,1,MYLU,MA,Princeton,KGUNH,post,Y,6/13/2016,5/24/11,A,MADFW15547,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA266,res09,LUpost-res09,1,MYLU,MA,Princeton,KGUNH,post,Y,6/13/2016,6/14/2012,A,MADFW15775,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA241,tcap177,LUpost-tcap177,3,MYLU,MA,Princeton,KGUNH,post,Y,6/13/16,5/16/13,A,MADFW15907,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA337,tcap100,LUpost-tcap100,3,MYLU,MA,Pepperell,KGUNH,post,Y,6/20/16,5/12/14,A,MADFW16254,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA330,tcap112,LUpost-tcap112,3,MYLU,MA,Pepperell,KGUNH,post,Y,6/20/16,5/13/13,A,MADFW15998,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA335,res04,LUpost-res04,1,MYLU,MA,Pepperell,KGUNH,post,Y,6/20/2016,6/11/2012,A,MADFW15726,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA321,res13,LUpost-res13,2,MYLU,MA,Pepperell,KGUNH,post,Y,6/20/16,7/13/12,A,MADFW15863,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16NH072,res03,LUpost-res03,1,MYLU,NH,Charlestown,KGUNH,post,Y,6/30/2016,7/18/2011,A,NHFG41562,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG16NH066,res17,LUpost-res17,2,MYLU,NH,Charlestown,KGUNH,post,Y,6/30/16,6/19/12,A,NHFG41760,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG16NH053,res22,LUpost-res22,2,MYLU,NH,Charlestown,KGUNH,post,Y,6/30/16,7/16/12,A,NHFG41631,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG16NH076,res25,LUpost-res25,2,MYLU,NH,Charlestown,KGUNH,post,Y,6/30/16,6/19/12,A,NHFG41769,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG16MA507,tcap031,LUpost-tcap031,3,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,5/14/14,A,MADFW16282,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA484,tcap182,LUpost-tcap182,3,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,5/16/13,A,MADFW15923,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA516,res02,LUpost-res02,1,MYLU,MA,Princeton,KGUNH,post,Y,7/5/2016,6/8/2010,A,THK26280,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA487,res16,LUpost-res16,2,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,7/19/12,A,MADFW15884,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA488,res19,LUpost-res19,2,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,7/19/12,A,MADFW15994,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA520,tcap008,LUpost-tcap008,3,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,6/13/16,A,MADFW16832,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA500,tcap043,LUpost-tcap043,3,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,5/20/16,A,MADFW16330,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA517,tcap139,LUpost-tcap139,3,MYLU,MA,Princeton,KGUNH,post,Y,7/5/16,7/21/15,?,MADFW16315,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA579,tcap094,LUpost-tcap094,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/12/16,5/12/14,A,MADFW16253,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA572,tcap124,LUpost-tcap124,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/12/16,5/23/16,A,MADFW16377,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16NH084,res10,LUpost-res10,1,MYLU,NH,Milford,KGUNH,post,Y,7/13/2016,7/18/08,A,NHFG40264,F,Katherine Ineson,NA,LU,NH-Milford,9,9
KG16NH136,res11,LUpost-res11,1,MYLU,NH,Milford,KGUNH,post,Y,7/13/2016,6/3/09,A,MADFW16095,F,Katherine Ineson,NA,LU,NH-Milford,9,9
KG16MA683,tcap130,LUpost-tcap130,3,MYLU,MA,Princeton,KGUNH,post,Y,7/26/16,6/3/13,A,MADFW15949,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA686,tcap125,LUpost-tcap125,3,MYLU,MA,Princeton,KGUNH,post,Y,7/26/16,5/30/16,A,MADFW16803,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG16MA723,res05,LUpost-res05,1,MYLU,MA,Pepperell,KGUNH,post,Y,8/1/2016,6/11/2012,A,MADFW15744,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA717,tcap159,LUpost-tcap159,3,MYLU,MA,Pepperell,KGUNH,post,Y,8/1/16,5/23/16,A,MADFW16365,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG16MA816,tcap135,LUpost-tcap135,3,MYLU,MA,Princeton,KGUNH,post,Y,8/15/16,5/30/16,A,MADFW16801,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
NYLI0132017,tcap116,SEpost-tcap116,3,MYSE,NY,SagHarbor,NYDEC,post,NA,4/12/2017,NA,NA,NYDEC31692,F,Sam Hoff,"UV+
RECAP 10/19/17",SE,NY-SagHarbor,13,13
NYLI0142017,tcap157,SEpost-tcap157,3,MYSE,NY,SagHarbor,NYDEC,post,NA,4/12/2017,NA,NA,NYDEC31693,F,Sam Hoff,UV+,SE,NY-SagHarbor,13,13
NYLI0122017,tcap164,SEpost-tcap164,3,MYSE,NY,SagHarbor,NYDEC,post,NA,4/12/2017,NA,NA,NYDEC31699,F,Sam Hoff,UV+,SE,NY-SagHarbor,13,13
NYLI0162017,tcap134,SEpost-tcap134,3,MYSE,NY,SagHarbor,NYDEC,post,NA,4/13/2017,NA,NA,NYDEC31695,F,Sam Hoff,Cleanest wings,SE,NY-SagHarbor,13,13
NYLI0152017,tcap170,SEpost-tcap170,3,MYSE,NY,SagHarbor,NYDEC,post,NA,4/13/2017,NA,NA,NYDEC31694,F,Sam Hoff,"UV+
Most infected",SE,NY-SagHarbor,13,13
KG17MA168,tcap136,LUpost-tcap136,3,MYLU,MA,Princeton,KGUNH,post,Y,5/16/17,6/14/12,A,MADFW15763,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA110,res23,LUpost-res23,2,MYLU,MA,Princeton,KGUNH,post,Y,5/16/17,7/11/11,A,MADFW15815,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA132,res35,LUpost-res35,2,MYLU,MA,Princeton,KGUNH,post,Y,5/16/17,5/16/13,A,MADFW15925,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA142,tcap105,LUpost-tcap105,3,MYLU,MA,Princeton,KGUNH,post,Y,5/16/17,7/23/16,A,MADFW16986,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA186,res26,LUpost-res26,2,MYLU,MA,Pepperell,KGUNH,post,Y,5/21/17,6/11/12,A,MADFW15726,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17MA197,tcap109,LUpost-tcap109,3,MYLU,MA,Pepperell,KGUNH,post,Y,5/21/17,7/12/16,A,MADFW16922,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17NH042,res29,LUpost-res29,2,MYLU,NH,Milford,KGUNH,post,Y,5/23/17,7/16/09,A,MADFW16152,F,Katherine Ineson,NA,LU,NH-Milford,9,9
KG17NH102,res31,LUpost-res31,2,MYLU,NH,Charlestown,KGUNH,post,Y,5/31/17,7/18/11,A,NHFG41589,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG17NH096,res34,LUpost-res34,2,MYLU,NH,Charlestown,KGUNH,post,Y,5/31/17,7/16/12,A,NHFG41638,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG17VT081,tcap095,LUpost-tcap095,3,MYLU,VT,Newfane,KGUNH,post,Y,6/1/17,6/22/16,A,VTDFW08359,F,Katherine Ineson,NA,LU,VT-Newfane,19,19
