sampleID,libPrepAlias,analysisAlias,TCAPbatch,SpeciesID,SamplingState,SampleSite,Collection,WNSgroup,RecapStatus,CollectionDate,InitialCaptureDate,CaptureAge,BandNum,Sex,Collector,Notes,SpeciesPfx,Location,LocationNumber,LocationOrder
KG17MA653,tcap114,LUpost-tcap114,3,MYLU,MA,Princeton,KGUNH,post,Y,6/29/17,6/13/16,A,MADFW16832,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA635,tcap115,LUpost-tcap115,3,MYLU,MA,Princeton,KGUNH,post,Y,6/29/17,5/20/16,A,MADFW16328,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA650,tcap161,LUpost-tcap161,3,MYLU,MA,Princeton,KGUNH,post,Y,6/29/17,5/20/16,A,MADFW16807,F,Katherine Ineson,NA,LU,MA-Princeton,6,6
KG17MA665,tcap032,LUpost-tcap032,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/5/17,7/12/16,A,MADFW16931,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17MA685,tcap103,LUpost-tcap103,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/5/17,7/12/16,A,MADFW16921,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17MA714,tcap107,LUpost-tcap107,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/5/17,5/23/16,A,MADFW16359,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17MA715,tcap176,LUpost-tcap176,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/5/17,5/23/16,A,MADFW16375,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17NH242,tcap052,LUpost-tcap052,3,MYLU,NH,Milford,KGUNH,post,Y,7/11/17,6/13/12,A,NHFGD40196,F,Katherine Ineson,NA,LU,NH-Milford,9,9
KG17MA754,tcap098,LUpost-tcap098,3,MYLU,MA,Lincoln,KGUNH,post,Y,7/13/17,8/22/14,A,VTDFW08762,F,Katherine Ineson,NA,LU,MA-Lincoln,3,3
KG17MA733,tcap087,LUpost-tcap087,3,MYLU,MA,Lincoln,KGUNH,post,Y,7/13/17,7/19/16,J,MADFW16956,F,Katherine Ineson,NA,LU,MA-Lincoln,3,3
KG17MA751,tcap092,LUpost-tcap092,3,MYLU,MA,Lincoln,KGUNH,post,Y,7/13/17,7/19/16,J,MADFW16966,F,Katherine Ineson,NA,LU,MA-Lincoln,3,3
KG17MA734,tcap104,LUpost-tcap104,3,MYLU,MA,Lincoln,KGUNH,post,Y,7/13/17,7/19/16,A,MADFW16946,F,Katherine Ineson,NA,LU,MA-Lincoln,3,3
1,tcap128,SEpost-tcap128,3,MYSE,MA,Nantucket,NYDEC,post,N,7/18/2017,NA,A,RRR123,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
KG17NH282,tcap156,LUpost-tcap156,3,MYLU,NH,Charlestown,KGUNH,post,Y,7/18/17,6/30/16,J,PPP086,F,Katherine Ineson,NA,LU,NH-Charlestown,7,7
KG17MA782,tcap138,LUpost-tcap138,3,MYLU,MA,Pepperell,KGUNH,post,Y,7/26/17,7/23/16,J,MADFW16984,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
2,tcap147,SEpost-tcap147,3,MYSE,MA,Nantucket,NYDEC,post,N,7/28/2017,NA,J,NA,M,Sam Hoff,bat found freshly dead on trail on land bank property at end of Appleton Rd,SE,MA-Nantucket,4,4
KG17NH312,tcap034,LUpost-tcap034,3,MYLU,NH,Milford,KGUNH,post,Y,8/1/17,7/13/16,J,NHFG41804,F,Katherine Ineson,NA,LU,NH-Milford,9,9
6,tcap117,SEpost-tcap117,3,MYSE,MA,Nantucket,NYDEC,post,N,8/2/2017,NA,J,NA,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
5,tcap122,SEpost-tcap122,3,MYSE,MA,Nantucket,NYDEC,post,N,8/2/2017,NA,A,NA,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
4,tcap131,SEpost-tcap131,3,MYSE,MA,Nantucket,NYDEC,post,N,8/2/2017,NA,J,NA,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
3,tcap149,SEpost-tcap149,3,MYSE,MA,Nantucket,NYDEC,post,N,8/2/2017,NA,J,NA,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
KG17MA798,tcap084,LUpost-tcap084,3,MYLU,MA,Pepperell,KGUNH,post,Y,8/3/17,8/1/16,J,MADFW16997,F,Katherine Ineson,NA,LU,MA-Pepperell,5,5
KG17MA862,tcap088,LUpost-tcap088,3,MYLU,MA,Lincoln,KGUNH,post,Y,8/8/17,7/19/16,J,MADFW16941,F,Katherine Ineson,NA,LU,MA-Lincoln,3,3
7,tcap118,SEpost-tcap118,3,MYSE,MA,Nantucket,NYDEC,post,N,8/8/2017,NA,A,NA,M,Sam Hoff,NA,SE,MA-Nantucket,4,4
8,tcap123,SEpost-tcap123,3,MYSE,MA,Nantucket,NYDEC,post,N,8/8/2017,NA,A,NA,F,Sam Hoff,NA,SE,MA-Nantucket,4,4
